date,start,end,hours,phase,hat,task,estimate_hours,blocked_hours,notes
2026-08-31,19:30,21:30,2.00,inception,product-owner,mined the wells and choose three candidates and wrote their problem statements + started to figure out who to talk to for the user evidence,2.00,0.00,choosing the three candidates was hard but fun
2026-09-01,16:15,17:45,1.50,inception,product-owner,made all the cards for the Reps in Chapter 2 and filled out the top field requirements for each candidate and set up the interviews for each candidate,2.00,0.00,making the cards for Chapter 2 was not that bad and setting up the interviews went smoothly
2026-09-02,19:00,23:45,4.75,inception,product-owner,interviewed two of the candidates (Tristen and Finn) and inputted the responses and then worked for a long time to try to figure out the dependencies but ended up needing to send Litman a text,4.25,0.00,estimate was pretty close and dependencies are hard to figure out without building out the application first
2026-09-03,13:30,14:30,1.00,inception,product-owner,added in the technologies and marked novelties for each candidate,1.00,0.00,all mine required the same general technologies
2026-09-03,15:15,18:15,3.00,inception,product-owner,interviewed last candidate (Stella) and did candidate scope for the leading one and ran scope sizer on the candidates,3.50,0.00,interviewed last candidate
2026-09-03,22:00,22:30,0.50,inception,product-owner,reconciled the two estimates and wrote the eight things I will not build,0.50,0.00,picked the eight things I will not build
2026-09-04,19:00,23:30,4.50,inception,product-owner,fully completed the all of the candidate files a-c and added the leading one to the scoping-decision-memo,4.00,0.00,I didn't truly think it would take so long to complete all of them
2026-09-05,17:30,22:45,5.25,inception,product-owner,proved every dependency exists for each candidate,3.00,0.00,it took a while making sure that each dependency worked and was the right one for the candidate
2026-09-06,16:00,16:15,0.25,inception,product-owner,fixed the Milestone 1 comments,0.50,0.00,fixing the changes was actually not that hard
2026-09-06,17:00,18:00,1.00,inception,product-owner,added the must features to the project board and submitted repo link and did week 2 quiz,1.50,0.00,this wasn't too hard to do
2026-09-08,16:30,19:30,3.00,requirements,business-analyst,read chapter 3 & made some more cards for the reps on the project board & wrote the purpose and scope statement & did the feature areas and the identifier scheme & asked dr.liman questions & then did rep 4: 20 questions nobody answered,3.50,0.00,this went well and I understand the flow of the week
2026-09-09,21:00,23:30,2.50,requirements,business-analyst,completed the two stakeholders and personas & interviewed Stella and wrote the transcript for it & updated ci.yml,2.00,0.00,the interview went well
2026-09-10,16:30,20:30,4.00,requirements,business-analyst,did two thirds of the functional requirements and added in some definitions in requirements.md,2.00,0.00,there were more functional requirements needed than I thought (18 not 8)
2026-09-11,17:30,21:45,4.25,requirements,business-analyst,finished the rest of the functional requirements and added in some more definitions in requirements.md and used the FIND THE HOLES prompt on the functional requirements and added the Must requirements to the project board,3.00,0.00,continuing the functional requirements went well
2026-09-12,16:15,18:00,1.75,requirements,business-analyst,had a stranger read the requirements.md file and fixed the sentences circled that could have been inferred that two different programs could satisfy it,1.50,0.00,this went well and I was able to add on to ensure that another program could not be inferred to satisfy it
2026-09-14,15:45,20:00,4.25,requirements,business-analyst,read chapter 4 and did the in page quiz and then did five adjective and four fields for my system and completed the percentile drill then I inputted these in week-04-reps.md,3.50,0.00,It took me a while to understand exactly how to do these but I completed rep 1 and 2 successfully
2026-09-15,15:30,18:00,2.50,requirements,business-analyst,I completed diagnosing and rewriting six requirements for my system and finished building the data inventory table and I inputted these in week-04-reps.md,3.00,0.00,It took a while to rewriting the requirements but building the data inventory table went smoothly
2026-09-16,15:15,18:15,3.00,requirements,business-analyst,Completed rep 5 for the mouse unplugged pass with the creation of the 3NFR's then added a note to rep 6 and then finished rep 7's 5 prohibitions and the history check,3.00,0.00,Rep 6 could not be completed because it did not apply to my projects current state so I asked Dr.Litman about it though the rest went well
2026-09-18,15:15,20:30,5.25,requirements,business-analyst,Finished sorting the pile and then creating constraints and assumptions and dependencies for my system then inputted the non functional requirements into the requirements.md files then verified one obligation and then prompted ai for the other non functional requirements and obligations along with updating the ai usage log,3.00,0.00,I did way more than I thought I would today
2026-09-19,16:15,20:45,4.50,requirements,business-analyst,Did the traceability-matrix check & fixed it & created it for mine and edited the definition-of-done.md and then created the NFR one pager and then fixed the milestone comments in the requirements.md file,4.50,0.00,work took just as long as I expected it would
2026-09-23,18:30,23:30,5.00,design,architect,fixed week 4 comment and completed the driver table for rep 1 the job board test for rep 2 then completed the option space and pruning for rep 3 and then I got half way through rep 4 in the tech-evaluation.csv,4.00,0.00,work went well and worked a bit longer than I thought I would
2026-09-24,16:00,18:00,2.00,design,architect,finished rep 4 and rep 5 to complete the tech-evalution.csv then completed rep 6 for the sensitivity pass and then rep 7 for the seam inventory table of boundaries in out stack then completed rep 8 for the novelty load,3.00,0.00,work went really well it didn't take as long as I thought it would
