req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
NFR-AVA-01,non-functional,Must,When Gemini is unavailable the app shall display the predetermined fallback response within 30 seconds for 10 out of 10 simulated failures,Ch4 Availability,AiUnavailableFallback,T-103,Measured by testing with a simulated timeout an API error and an invalid response then recording whether the fallback appears as expected in 10 simulated failures,planned
NFR-SEC-01,non-functional,Must,Stressed individuals data shall be breached 0 times when the repository has 0 AI API key's in any commit,Ch4 Security,SecretManagement,T-104,Measured by scanning over the full history going over every commit made to GitHub and checking that the .env is in the gitignore and expecting that there are 0 secrets found when this is done,planned
NFR-SEC-02,non-functional,Must,The app shall expose 0 technical error details API keys database errors or provider error details in 10 simulated failure cases instead it will proved general error messages,Ch4 Security,TechnicalErrorManagement,T-105,Measured by simulating 10 save API and database failures then expecting that 0 are recorded with contain technical error details API keys or database information,planned
NFR-PRIV-01,non-functional,Must,Stressed individuals check in responses and journal entries shall be sent to Gemini AI 0 times unless the stressed individual prompts for an AI Analysis request,Ch4 Privacy,AiAnalysisPromptHandling,T-106,Measured by checking the AI request page after doing 7 check ins and 7 journal entries expecting that the responses and entries were sent 0 times to Gemini AI,planned
NFR-PRIV-02,non-functional,Must,Each AI request shall send only the check-in responses journal entry and the predetermined prompt when prompted for that analysis. It shall send 0 unrelated personal information or device information,Ch4 Privacy,AiPromptOnly,T-107,Measured by sending 10 test requests with sample data checking each request to make sure it includes 0 unrelated information,planned
NFR-ACC-01,non-functional,Must,Stressed individuals shall be able to go through each 5 main features in the app with 0 problems as each will have easy readable fonts and text size and contrasts in colors,Ch4 Accessibility,UiDesign,T-108,Measured with 5 individuals that go through the app with the grayscale setting on expecting 4 out the 5 individuals have 0 problems going through the app,planned
NFR-ACC-02,non-functional,Must,The app shall show success failure and loading states and message without relying on color alone in 5 out of the 5 tests,Ch4 Accessibility,UiMessagesDesign,T-109,Measured by turning on the grayscale mode and checking the 5 main features expecting the recording shows that 0 main feature rely on color alone and that all 5 main feature pass the 5 tests,planned
NFR-USE-01,non-functional,Should,Stressed individuals first time on the app 4 out of 5 of them shall be able to complete 1 check in journal entry and AI Anylsis prompt request when they go through the app without help,Ch4 Usability,AppUsageCompletion,T-110,Measured with 5 first time stressed individuals app usage completion expecting 4 passing out of 5,planned
NFR-USE-02,non-functional,Should,Stressed individuals first time on the app 4 out of 5 of them shall be able to correctly identify whether a journal entry or check-in was saved after both a successful and failed save attempt,Ch4 Usability,IdentifySaving,T-111,Measured with 5 users in both scenarios with 0 assistance and recording their answers,planned
NFR-MNT-01,non-functional,Must,New stressed individuals shall be able to use only the README when creating a clean clone of the repository to reach a running app in under 10 minutes with 0 errors,Ch4 Maintainability,CleanSetup,T-112,Measured through testing this on a clean computer and that the app works on an iPhone in Expo Go recording how long it took which expects under 10 mintues and expecting 0 errors,planned
NFR-PORT-01,non-functional,Should,Stressed individuals shall be able to run the app and complete the a least 1 check in journal entry and AI Anaylsis when on 2 different operting systems both iOS and Android,Ch4 Portability,OpertingSystemCompatibility,T-113,Measured through testing and recording that each feature works on an iPhone and Android expecting that all 5 main features have 0 errors,planned
NFR-PORT-02,non-functional,Should,The app shall work when in portrait mode and cut of 0 main buttons or controls,Ch4 Portability,CleanPortraitMode,T-114,Measured by testing every main screen in portrait mode expecting that all 5 main feautre work recording any controls that are cut off or cannot be reached though expecting 0 fail to work,planned
NFR-PORT-03,non-functional,Should,The app shall work when in landscape mode and cut of 0 main buttons or controls,Ch4 Portability,CleanLandscapeMode,T-115,Measured by testing every main screen in landscape mode expecting that all 5 main feautre work recording any controls that are cut off or cannot be reached though expecting 0 fail to appear or work properly,planned
